timestamp_ms,throttle,rudder,duty_left,duty_right,rpm_left_hz10,rpm_right_hz10,active_blocks_l,active_blocks_r,mean_is_l,mean_is_r,latch_resets,vbat_mv,pi_integral_l,pi_integral_r,pi_meas_ema_l
30547,0,-798,-894,894,-4785,4785,1,1,4042,4045,0,17710,29997,29997,4148
30548,0,-798,-894,894,-4785,4785,1,1,4042,4045,0,15431,29997,29997,4148
30552,0,-798,-894,894,-4785,4785,1,1,4042,4045,0,13551,29997,29997,4148
30554,0,-798,-894,894,-4785,4785,1,1,4042,4045,0,12697,29997,29997,4148
30555,0,-798,-894,894,-4785,4785,1,1,4042,4045,0,11989,29997,29997,4148
30746,0,-798,-894,894,-5290,7684,8,8,2764,2764,0,5941,29997,29997,4947
30747,0,-798,-894,894,-5290,7684,8,8,2764,2764,0,6877,29997,29997,4947
30747,0,-798,-894,894,-5290,7684,8,8,2764,2764,0,7333,29997,29997,4947
30748,0,-798,-894,894,-5290,7684,8,8,2764,2764,0,7707,29997,29997,4947
30751,0,-798,-894,894,-5290,7684,8,8,2764,2764,0,8245,29997,29997,4947
30943,0,-798,-894,754,-7336,8389,8,8,1635,1628,0,14072,29997,-9999,6619
30946,0,-798,-894,754,-7336,8389,8,8,1635,1628,0,6706,29997,-9999,6619
30947,0,-798,-894,754,-7336,8389,8,8,1635,1628,0,6674,29997,-9999,6619
30948,0,-798,-894,754,-7336,8389,8,8,1635,1628,0,7138,29997,-9999,6619
30951,0,-798,-894,754,-7336,8389,8,8,1635,1628,0,7032,29997,-9999,6619
31134,0,-798,-754,754,-8530,8594,8,8,1177,1078,0,5673,-9999,-9999,7957
31135,0,-798,-754,754,-8530,8594,8,8,1177,1078,0,5786,-9999,-9999,7957
31135,0,-798,-754,754,-8530,8594,8,8,1177,1078,0,5990,-9999,-9999,7957
31139,0,-798,-754,754,-8530,8594,8,8,1177,1078,0,5876,-9999,-9999,7957
31151,0,-798,-754,754,-8530,8594,8,8,1177,1078,0,6511,-9999,-9999,7957
31328,0,-798,-827,796,-7210,0,8,8,267,240,0,6071,-2288,-9999,7434
31329,0,-798,-827,796,-7210,0,8,8,267,240,0,6617,-2288,-9999,7434
31329,0,-798,-827,796,-7210,0,8,8,267,240,0,7382,-2288,-9999,7434
31330,0,-798,-827,796,-7210,0,8,8,267,240,0,7431,-2288,-9999,7434
31351,0,-798,-827,796,-7210,0,8,8,267,240,0,8245,-2288,-9999,7434
31520,0,-798,-894,894,-5943,0,8,8,1395,1390,0,6340,29997,29997,6390
31521,0,-798,-894,894,-5943,0,8,8,1395,1390,0,7390,29997,29997,6390
31525,360,-798,-894,894,-5943,0,8,8,1395,1390,0,30000,29997,29997,6390
31527,395,-798,-894,894,-5943,0,8,8,1395,1390,0,30000,29997,29997,6390
31725,515,-798,-870,943,-7052,0,1,1,3984,3979,0,7943,29997,29997,6854
31726,515,-798,-870,943,-7052,0,1,1,3984,3979,0,8098,29997,29997,6854
31727,1000,-798,-870,943,-7052,0,1,1,3984,3979,0,8212,29997,29997,6854
31727,1000,-798,-870,943,-7052,0,1,1,3984,3979,0,8619,29997,29997,6854
31728,1000,-798,-870,943,-7052,0,1,1,3984,3979,0,8888,29997,29997,6854
31900,1000,-798,-553,1000,-6201,9403,8,8,1990,1979,0,5860,-9999,29997,6397
31904,1000,-798,-553,1000,-6201,9403,8,8,1990,1979,0,6413,-9999,29997,6397
31906,1000,-798,-553,1000,-6201,9403,8,8,1990,1979,0,6771,-9999,29997,6397
31907,1000,-798,-553,1000,-6201,9403,8,8,1990,1979,0,6682,-9999,29997,6397
31911,1000,-798,-553,1000,-6201,9403,8,8,1990,1979,0,8025,-9999,29997,6397
32069,1000,-798,-471,940,-5470,10515,8,8,1377,1429,0,4802,-9999,-9999,5748
32072,1000,-798,-471,940,-5470,10515,8,8,1377,1429,0,5689,-9999,-9999,5748
32074,1000,-798,-471,940,-5470,10515,8,8,1377,1429,0,5949,-9999,-9999,5748
32074,1000,-798,-471,940,-5470,10515,8,8,1377,1429,0,6340,-9999,-9999,5748
32233,1000,-798,-392,940,-3947,10869,8,8,735,847,0,6340,-9999,-9999,4487
32235,1000,-798,-392,940,-3947,10869,8,8,735,847,0,6828,-9999,-9999,4487
32235,1000,-798,-392,940,-3947,10869,8,8,735,847,0,6779,-9999,-9999,4487
32235,1000,-798,-392,940,-3947,10869,8,8,735,847,0,6942,-9999,-9999,4487
32382,1000,-798,-318,940,-3912,9922,8,8,737,803,0,5388,-9999,-9999,4085
32383,1000,-798,-318,940,-3912,9922,8,8,737,803,0,5909,-9999,-9999,4085
32383,1000,-798,-318,940,-3912,9922,8,8,737,803,0,6226,-9999,-9999,4085
32391,1000,-798,-318,940,-3912,9922,8,8,737,803,0,7072,-9999,-9999,4085
32530,1000,-798,-248,1000,-2216,6451,8,8,743,839,0,5729,-9999,29997,2777
32531,1000,-798,-248,1000,-2216,6451,8,8,743,839,0,5884,-9999,29997,2777
32532,1000,-798,-248,1000,-2216,6451,8,8,743,839,0,6120,-9999,29997,2777
32551,1000,-798,-248,1000,-2216,6451,8,8,743,839,0,6999,-9999,29997,2777
32671,1000,-798,-180,940,-2441,11476,8,8,864,791,0,5966,-19996,-9999,2542
